pathway	name	class	description
path:hsa04961	Endocrine and other factor-regulated calcium reabsorption	Organismal Systems; Excretory system	Calcium (Ca2+) is essential for numerous physiological functions including intracellular signalling processes, neuronal excitability, muscle contraction and bone formation. Therefore, its homeostasis is finely maintained through the coordination of intestinal absorption, renal reabsorption, and bone resorption. In kidney, the late part of the distal convoluted tubule (DCT) and the connecting tubule (CNT) are the site of active Ca2+ transport and precisely regulate Ca2+ reabsorption. Following Ca2+ entry through TRPV5, Ca2+ bound to calbindin-D28K diffuses to the basolateral side, where it is extruded into the blood compartment through NCX1 and to a lesser extent PMCA1b. In the urinary compartment, both klotho and tissue kallikrein (TK) increase the apical abundance of TRPV5. In the blood compartment, PTH, 1,25(OH)2D3 and estrogen increase the transcription and protein expression of  the luminal Ca2+ channels, calbindins, and the extrusion systems.
path:hsa03460	Fanconi anemia pathway	Genetic Information Processing; Replication and repair	The Fanconi anemia pathway is required for the efficient repair of damaged DNA, especially interstrand cross-links (ICLs). DNA ICL is directly recognized by FANCM and associated proteins, that recruit the FA core complex. The FA core complex monoubiquitinates FANCD2 and FANCI. The monoubiquitinated FANCD2/FANCI becomes an active form and interacts with a series of DNA repair proteins and facilitates downstream repair pathways. Fanconi anemia is caused by mutations in one of at least 13 FA genes and is characterized by congenital growth abnormalities, bone marrow failure and cancer predisposition.
path:hsa00910	Nitrogen metabolism	Metabolism; Energy metabolism	The biological process of the nitrogen cycle is a complex interplay among many microorganisms catalyzing different reactions, where nitrogen is found in various oxidation states ranging from +5 in nitrate to -3 in ammonia. The core nitrogen cycle involves four reduction pathways and two oxidation pathways. Nitrogen fixation [MD:M00175] is the process of reducing atmospheric molecular nitrogen to ammonia, a biologically useful reduced form incorporated into amino acids and other vital compounds. The ability of fixing atmospheric nitrogen by the nitrogenase enzyme complex is present in restricted prokaryotes (diazotrophs). The other reduction pathways are assimilatory nitrate reduction [MD:M00531] and dissimilatory nitrate reduction [MD:M00530] both for conversion to ammonia, and denitrification [MD:M00529]. Denitrification is a respiration in which nitrate or nitrite is reduced as a terminal electron acceptor under low oxygen or anoxic conditions, producing gaseous nitrogen compounds (N2, NO and N2O) to the atmosphere. The two oxidation pathways are nitrification [MD:M00528] and anaerobic ammonium oxidation (anammox). Nitrification is the oxidation of ammonia (NH3) with oxygen into nitrite followed by the oxidation of nitrite into nitrate. The first step is performed by ammonia-oxidizing microorganisms (e.g., Nitrosomonas and Nitrosococcus) and the second step by nitrite-oxidizing microorganisms (e.g., Nitrobacter). Anammox is a biochemical process of oxidizing ammonium (NH4+) into dinitrogen gas (N2) using nitrite as an electron acceptor. It occurs in the anammoxosome, a membrane bound compartment inside the cytoplasm, of anammox bacteria (e.g., Planctomycetes).
path:hsa00630	Glyoxylate and dicarboxylate metabolism	Metabolism; Carbohydrate metabolism	
path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Metabolism; Glycan biosynthesis and metabolism	Heparan sulfate (HS) and heparin (Hep) are glycosaminoglycans with repeating disaccharide units that consist of alternating residues of alpha-D-glucosamine (GlcN) and uronic acid, the latter being either beta-D-glucuronic acid (GlcA) or alpha-L-iduronic acid (IdoA). In these sugar residues, sulfation modification may be performed at various positions. Structural studies show that Hep possesses a higher degree of sulfation than HS. The biosynthesis of HS/Hep occurs with the addition of the first GlcNAc residue by EXTL3 glycosyltransferase after completion of tetrasaccharide linkage region attached to serine residue of a core protein. The chain polymeraization is then catalyzed by EXT1 and EXT2 transferases. As the chain polymerizes, HS/Hep undergoes a series of modification reactions including N-deacetylation, N-sulfation, epimerization, and subsequently O-sulfation. As final products of biosynthesis, HS is present in the form of hepran sulfate proteoglycan (HSPG) whereas Hep exists as a sugar chain without a core protein. The proteoglycan families with HS, as well as CS (chondroitin sulfate), DS (dermatan sulfate), and KS (keratan sulfate), are composed of two main types depending on the subcellular locations: cell membrane and extracellular matrix [BR:ko00535]. HS/Hep has been shown to bind to a variety of molecules, such as growth factors, chemokines, morphogens, and extracellular matrix components [BR:ko00536].
path:hsa05033	Nicotine addiction	Human Diseases; Substance dependence	Nicotine is one of the main psychoactive ingredients in tobacco that contributes to the harmful tobacco smoking habit. A common feature of addictive drugs, including nicotine, is that they increase dopamine (DA) release in the nucleus accumbens (NAc). The principal dopaminergic projections to NAc arise from neurons in the ventral tegmental area (VTA). In the VTA, alpha6- and alpha4beta2-containing nAChRs (alpha6*-AChRs and alpha4beta2*-AChRs, respectively) are located on GABAergic terminals and provide inhibitory inputs onto DAergic neuons, while alpha7*-nAChRs are located on glutamatergic terminals and activation of these receptors enhances glutamate release and increases excitability of DAergic neurons. Nicotine acts as an agonist to activate and desensitize these nicotinic acetylcholine receptors (nAChRs). After a short exposure to nicotine, alpha6*- and alpha4beta2*- nAChRs on GABAergic afferents are desensitized, decreasing GABA release and decreasing local inhibition of DA neurons. But the alpha7*-nAChRs on glutamatergic afferents remain active and enhance glutamate excitation of the DA neurons, leading to increased DA release in the NAc -and so facilitate the reinforcing effects of nicotine.
path:hsa00650	Butanoate metabolism	Metabolism; Carbohydrate metabolism	
path:hsa00480	Glutathione metabolism	Metabolism; Metabolism of other amino acids	
path:hsa04614	Renin-angiotensin system	Organismal Systems; Endocrine system	
path:hsa00250	Alanine, aspartate and glutamate metabolism	Metabolism; Amino acid metabolism	
path:hsa04930	Type II diabetes mellitus	Human Diseases; Endocrine and metabolic diseases	Insulin resistance is strongly associated with type II diabetes. "Diabetogenic" factors including FFA, TNFalpha and cellular stress induce insulin resistance through inhibition of IRS1 functions. Serine/threonine phosphorylation, interaction with SOCS, regulation of the expression, modification of the cellular localization, and degradation represent the molecular mechanisms stimulated by them. Various kinases (ERK, JNK, IKKbeta, PKCzeta, PKCtheta and mTOR) are involved in this process.
path:hsa00350	Tyrosine metabolism	Metabolism; Amino acid metabolism	
path:hsa00460	Cyanoamino acid metabolism	Metabolism; Metabolism of other amino acids	
path:hsa04744	Phototransduction	Organismal Systems; Sensory system	Phototransduction is a biochemical process by which the photoreceptor cells generate electrical signals in response to captured photons. The vertebrate cascade starts with the absorption of photons by the photoreceptive pigments, the rhodopsins, which consist of a membrane embedded chromophore, 11-cis-retinal, and a G-protein-coupled receptor, opsin. The photon isomerizes 11-cis-retinal to all-trans-retinal which induces a structural change that activates the opsin. This triggers hydrolysis of cGMP by activating a transducinphosphodiesterase 6 (PDE6) cascade, which results in closure of the cGMP-gated cation channels (CNG) in the plasma membrane and membrane hyperpolarization. The hyperpolarization of the membrane potential of the photoreceptor cell modulates the release of neurotransmitters to downstream cells. Recovery from light involves the deactivation of the light- activated intermediates: photolyzed rhodopsin is phosphorylated by rhodopsin kinase (RK) and subsequently capped off by arrestin; GTP-binding transducin alpha subunit deactivates through a process that is stimulated by RGS9.
